Id,SalePrice
5205,861042.06
10317,908797.44
838,140945.78
10351,1167262.0
4929,618166500.0
9785,2932707.8
1639,4081917.8
6378,908768.44
4890,618166500.0
6235,908767.3
2349,2932310.5
4185,25410.81
548,618166300.0
3798,618166400.0
2649,313723.53
10457,861487.7
9329,908790.0
680,1160894.5
2953,618166400.0
2456,25388.143
2635,2932325.2
96,860608.56
5068,9377884.0
5571,119947976.0
10474,2932744.8
9068,119948170.0
5931,1167244.5
6767,119948030.0
3464,141000.66
4150,1167237.6
1899,4081939.8
1798,1160954.2
6960,861190.94
4164,1161080.9
4079,313761.1
9569,4082591.0
772,860666.0
5966,25434.152
5383,4082235.8
6538,25441.658
3386,140999.02
4772,4082183.8
6532,141064.75
6570,861157.8
1604,860736.56
350,25360.54
2041,6046669.5
6738,1161218.5
4999,119947960.0
1866,119947790.0
5597,119947980.0
7703,119948100.0
8209,141099.8
7748,6047153.5
3726,908748.8
7163,6047104.5
8952,908787.3
404,4081812.8
8007,25460.914
8972,618166700.0
7295,618166660.0
1634,2932271.8
7669,25456.48
6762,618166660.0
10402,618166800.0
2382,1167230.8
6675,141067.72
3779,2932386.5
6005,25434.666
1385,119947760.0
258,9377627.0
5723,1167243.8
1003,618166340.0
1471,618166340.0
8732,2932651.5
6937,908772.56
7871,141092.73
10548,861495.44
140,313657.7
6730,2932544.5
7992,313863.88
5590,6046970.5
9740,1167259.5
19,140928.66
3655,618166400.0
8927,2932661.8
932,2932234.2
1621,2932271.2
9029,119948160.0
9578,313905.53
3914,4082110.8
3554,860902.0
4667,6046892.5
8645,6047229.5
2003,4081948.8
1272,9377681.0
3152,140994.12
2515,140980.83
10193,4082643.2
3149,1167233.8
5570,141044.69
8660,618166700.0
5869,141050.89
4659,860995.8
2879,140988.42
3544,908747.3
9880,6047334.0
5629,6046974.0
7726,1161271.2
8439,618166700.0
8712,618166700.0
3210,25398.027
6078,119948010.0
388,9377633.0
789,2932226.5
6327,2932523.0
8456,141104.94
4777,141028.1
4586,313774.44
1791,313701.06
8399,4082491.8
10382,908797.9
7539,25454.777
8705,908785.56
7666,2932594.5
6451,1167246.8
3142,2932352.8
6720,25444.043
218,313659.7
3402,2932366.2
5491,861066.44
4610,908755.25
1004,1167225.2
3445,6046788.5
2541,140981.38
10686,6047402.5
2441,313718.12
10222,1161405.0
9668,2932701.5
3796,6046818.5
8443,141104.69
10051,618166700.0
9178,6047275.0
7516,618166660.0
8784,2932654.2
1122,1160918.1
4768,313779.25
10630,2932753.2
7684,4082430.5
6093,2932510.2
10006,2932719.8
6664,908770.44
5128,141035.4
4506,908754.44
9753,1167259.6
241,119947700.0
6426,1161201.8
4695,618166500.0
9210,141120.72
3848,6046822.5
9913,119948216.0
8390,861312.3
767,6046560.5
589,1160889.6
778,9377654.0
5207,119947960.0
3232,908745.1
8160,2932620.8
57,860605.3
6895,861185.56
1611,25377.064
3096,618166400.0
2989,25395.137
10491,6047386.5
7293,6047114.5
7724,618166660.0
9502,25480.504
8346,6047204.0
114,313657.03
8321,4082485.0
3665,25403.99
3075,119947840.0
6826,4082357.8
245,9377626.0
2286,9377734.0
4556,141023.47
2578,1160996.0
1880,908735.06
1800,140965.86
2391,25387.297
8842,618166800.0
9205,4082559.8
3656,1167235.8
3950,9377824.0
5005,6046920.5
8336,1167254.0
10429,1167262.2
2897,9377768.0
9345,9378112.0
1884,25380.645
2329,618166400.0
4716,313777.88
565,140940.06
9695,313908.56
4317,4082145.0
6666,313829.06
4930,1167240.6
8383,9378062.0
7803,1167252.0
5970,1167244.8
818,25366.678
8723,6047236.5
294,908723.56
4988,2932451.2
8989,141116.1
8673,618166700.0
622,9377647.0
1159,618166340.0
9406,119948184.0
4240,618166460.0
1488,140959.34
8232,1167253.6
1593,119947770.0
3698,141005.53
7242,4082392.8
534,4081824.0
3820,9377817.0
8449,25466.707
1407,1167226.9
2736,140985.44
9605,9378128.0
6336,861138.06
719,1160896.5
9511,908791.56
3362,908746.2
1689,25378.094
7426,1167250.5
5582,861074.2
5905,1167244.5
3717,25404.682
1356,1160930.5
10229,9378160.0
1494,25375.535
4293,1167238.1
7264,313844.78
6478,1161204.6
3397,1161039.8
2334,119947810.0
13,6046497.5
8678,119948140.0
9510,119948184.0
9014,861365.25
9197,141120.44
9064,1167257.0
10692,141151.69
9407,908790.6
4106,9377832.0
5146,9377888.0
4538,4082163.8
9038,1167256.8
6166,1161187.9
7147,313841.7
1364,25373.836
8944,6047254.5
4536,25415.406
10020,313917.12
10477,25493.29
4352,313768.28
9755,861428.25
8446,2932636.2
7434,9378011.0
9893,6047335.5
7807,119948100.0
6742,908770.94
6677,908770.56
5883,119948000.0
10089,4082634.8
623,25364.117
1346,119947760.0
8384,25465.852
