asd,name,year,properties,nonCurrentLiabilities,currentLiabbilities,equities,fullPrice,priceNextYear
7519,SANTANDER,2010,32046,1038,5461,80418,1159200.0,857700.0
6122,PLATYNINW,2017,74142,659,9388,148860,9377600.0,25500.0
3846,COMP,2016,74044,751,10353,143526,313200.0,9377600.0
4503,INTERSPPL,2010,32046,1038,5461,80418,1159200.0,857700.0
6044,IMCOMPANY,2017,74142,659,9388,148860,9377600.0,25500.0
387,MOSTALZAB,2015,68095,661,7154,130446,2932000.0,313200.0
9838,OKOCIM,2015,68095,661,7154,130446,2932000.0,313200.0
10468,EBI,2008,24380,865,9160,48498,618163200.0,1168500.0
2168,STALPROFI,2015,68095,661,7154,130446,2932000.0,313200.0
8466,TBULL,2008,24380,865,9160,48498,618163200.0,1168500.0
9833,OKOCIM,2010,32046,1038,5461,80418,1159200.0,857700.0
2962,ERG,2016,74044,751,10353,143526,313200.0,9377600.0
2539,UNIMIL,2009,23851,1089,4068,69283,1168500.0,1159200.0
1614,TORFARM,2007,16086,610,2677,41013,4073400.0,618163200.0
141,TUP,2016,74044,751,10353,143526,313200.0,9377600.0
6550,AIRWAY,2016,74044,751,10353,143526,313200.0,9377600.0
5328,CPENERGIA,2016,74044,751,10353,143526,313200.0,9377600.0
10220,PAZUR,2007,16086,610,2677,41013,4073400.0,618163200.0
5623,EUROHOLD,2012,41583,738,13688,106601,140200.0,119939300.0
5313,SKYLINE,2014,68630,687,10513,119065,911300.0,2932000.0
9666,STORMM,2012,41583,738,13688,106601,140200.0,119939300.0
8755,TXM,2011,35340,817,11266,94012,857700.0,140200.0
5603,MOBRUK,2005,12126,520,1723,30845,9262800.0,6026400.0
3873,RAINBOW,2017,74142,659,9388,148860,9377600.0,25500.0
2693,13FORTUNA,2007,16086,610,2677,41013,4073400.0,618163200.0
1161,PEMUG,2009,23851,1089,4068,69283,1168500.0,1159200.0
4682,KAREN,2007,16086,610,2677,41013,4073400.0,618163200.0
877,ROPCZYCE,2011,35340,817,11266,94012,857700.0,140200.0
10511,KPBP-BICK,2012,41583,738,13688,106601,140200.0,119939300.0
6768,ITMTRADE,2013,62308,673,14845,119491,119939300.0,911300.0
3627,PRAGMAINK,2005,12126,520,1723,30845,9262800.0,6026400.0
8518,EUCO,2008,24380,865,9160,48498,618163200.0,1168500.0
163,ENAP,2012,41583,738,13688,106601,140200.0,119939300.0
5027,WOJAS,2014,68630,687,10513,119065,911300.0,2932000.0
8881,ADVGRUPA,2007,16086,610,2677,41013,4073400.0,618163200.0
3145,LCCORP,2017,74142,659,9388,148860,9377600.0,25500.0
5344,K2INTERNT,2006,12720,624,1914,37316,6026400.0,4073400.0
7599,MIRACULUM,2012,41583,738,13688,106601,140200.0,119939300.0
4741,TRAKCJA,2014,68630,687,10513,119065,911300.0,2932000.0
10375,COMPENSA,2006,12720,624,1914,37316,6026400.0,4073400.0
6665,CPGROUP,2014,68630,687,10513,119065,911300.0,2932000.0
5056,KREDYTIN,2017,74142,659,9388,148860,9377600.0,25500.0
10043,BCZ,2012,41583,738,13688,106601,140200.0,119939300.0
9102,NOVAKBM,2007,16086,610,2677,41013,4073400.0,618163200.0
1071,HOOP,2010,32046,1038,5461,80418,1159200.0,857700.0
1840,SWIECIE,2012,41583,738,13688,106601,140200.0,119939300.0
2247,TRASINTUR,2016,74044,751,10353,143526,313200.0,9377600.0
6683,BBIDEV,2006,12720,624,1914,37316,6026400.0,4073400.0
1199,ZREW,2008,24380,865,9160,48498,618163200.0,1168500.0
3230,SKOK,2011,35340,817,11266,94012,857700.0,140200.0
9048,DMWDM,2005,12126,520,1723,30845,9262800.0,6026400.0
227,ENERGOPOL,2011,35340,817,11266,94012,857700.0,140200.0
153,KOELNER,2015,68095,661,7154,130446,2932000.0,313200.0
5497,SKYEUROPE,2016,74044,751,10353,143526,313200.0,9377600.0
10244,4MEDIA,2005,12126,520,1723,30845,9262800.0,6026400.0
158,ENAP,2007,16086,610,2677,41013,4073400.0,618163200.0
6338,HUBSTYLE,2012,41583,738,13688,106601,140200.0,119939300.0
8973,COLIAN,2008,24380,865,9160,48498,618163200.0,1168500.0
3271,MCLOGIC,2013,62308,673,14845,119491,119939300.0,911300.0
8588,KDMSHIPNG,2013,62308,673,14845,119491,119939300.0,911300.0
8526,EUCO,2016,74044,751,10353,143526,313200.0,9377600.0
1889,PROKOM,2009,23851,1089,4068,69283,1168500.0,1159200.0
5778,PEKABEX,2011,35340,817,11266,94012,857700.0,140200.0
8017,ZEPAK,2014,68630,687,10513,119065,911300.0,2932000.0
8898,BGZ,2011,35340,817,11266,94012,857700.0,140200.0
7114,PATENTUS,2008,24380,865,9160,48498,618163200.0,1168500.0
5744,WINVEST,2016,74044,751,10353,143526,313200.0,9377600.0
3076,RONSON,2013,62308,673,14845,119491,119939300.0,911300.0
8124,REGNON,2017,74142,659,9388,148860,9377600.0,25500.0
5715,TARCZYNSKI,2013,62308,673,14845,119491,119939300.0,911300.0
8764,IDEABANK,2007,16086,610,2677,41013,4073400.0,618163200.0
1187,MOSTALPLC,2009,23851,1089,4068,69283,1168500.0,1159200.0
6033,IMCOMPANY,2006,12720,624,1914,37316,6026400.0,4073400.0
3741,WARIMPEX,2015,68095,661,7154,130446,2932000.0,313200.0
7325,RUBICON,2011,35340,817,11266,94012,857700.0,140200.0
6316,MEXPOLSKA,2016,74044,751,10353,143526,313200.0,9377600.0
3749,ELEKTROTI,2010,32046,1038,5461,80418,1159200.0,857700.0
5967,KRKA,2005,12126,520,1723,30845,9262800.0,6026400.0
15,GANT,2007,16086,610,2677,41013,4073400.0,618163200.0
359,INSTAL,2013,62308,673,14845,119491,119939300.0,911300.0
5022,WOJAS,2009,23851,1089,4068,69283,1168500.0,1159200.0
2610,HYDROBUD,2015,68095,661,7154,130446,2932000.0,313200.0
290,ELEKTROEX,2009,23851,1089,4068,69283,1168500.0,1159200.0
6747,ENELMED,2005,12126,520,1723,30845,9262800.0,6026400.0
6312,MEXPOLSKA,2012,41583,738,13688,106601,140200.0,119939300.0
10301,APEXIM,2010,32046,1038,5461,80418,1159200.0,857700.0
4321,OPTOPOL,2010,32046,1038,5461,80418,1159200.0,857700.0
2772,NOWAGALA,2008,24380,865,9160,48498,618163200.0,1168500.0
9610,TRASTYCHY,2008,24380,865,9160,48498,618163200.0,1168500.0
10276,PIASECKI,2011,35340,817,11266,94012,857700.0,140200.0
2527,WANDALEX,2010,32046,1038,5461,80418,1159200.0,857700.0
1940,EKODROB,2008,24380,865,9160,48498,618163200.0,1168500.0
10435,EXBUD,2014,68630,687,10513,119065,911300.0,2932000.0
4732,TRAKCJA,2005,12126,520,1723,30845,9262800.0,6026400.0
10069,BIG,2012,41583,738,13688,106601,140200.0,119939300.0
10037,BCZ,2006,12720,624,1914,37316,6026400.0,4073400.0
7450,ATAL,2006,12720,624,1914,37316,6026400.0,4073400.0
10549,LUKBUT,2011,35340,817,11266,94012,857700.0,140200.0
5703,VISTAL,2014,68630,687,10513,119065,911300.0,2932000.0
4219,LENA,2012,41583,738,13688,106601,140200.0,119939300.0
8667,QUMAK,2014,68630,687,10513,119065,911300.0,2932000.0
3983,ENERGOINS,2010,32046,1038,5461,80418,1159200.0,857700.0
6914,APLISENS,2016,74044,751,10353,143526,313200.0,9377600.0
10330,WKSM,2013,62308,673,14845,119491,119939300.0,911300.0
6208,IALBGR,2012,41583,738,13688,106601,140200.0,119939300.0
255,APATOR,2013,62308,673,14845,119491,119939300.0,911300.0
8994,EKO,2016,74044,751,10353,143526,313200.0,9377600.0
2322,KROSNO,2013,62308,673,14845,119491,119939300.0,911300.0
4187,CEDC,2006,12720,624,1914,37316,6026400.0,4073400.0
10484,CLIF,2011,35340,817,11266,94012,857700.0,140200.0
8430,GRODNO,2011,35340,817,11266,94012,857700.0,140200.0
3172,SYNTHOS,2005,12126,520,1723,30845,9262800.0,6026400.0
151,KOELNER,2013,62308,673,14845,119491,119939300.0,911300.0
3209,ONE2ONE,2016,74044,751,10353,143526,313200.0,9377600.0
10246,4MEDIA,2007,16086,610,2677,41013,4073400.0,618163200.0
3038,KERNEL,2014,68630,687,10513,119065,911300.0,2932000.0
923,ENERGOPN,2005,12126,520,1723,30845,9262800.0,6026400.0
4270,STAPORKOW,2011,35340,817,11266,94012,857700.0,140200.0
1244,HYDROTOR,2014,68630,687,10513,119065,911300.0,2932000.0
3592,PCGUARD,2009,23851,1089,4068,69283,1168500.0,1159200.0
5583,MASTERPHA,2011,35340,817,11266,94012,857700.0,140200.0
9794,OLAWA,2010,32046,1038,5461,80418,1159200.0,857700.0
5843,STARHEDGE,2011,35340,817,11266,94012,857700.0,140200.0
298,ELEKTROEX,2017,74142,659,9388,148860,9377600.0,25500.0
7646,TOYA,2007,16086,610,2677,41013,4073400.0,618163200.0
8452,REDWOOD,2007,16086,610,2677,41013,4073400.0,618163200.0
6729,CLNPHARMA,2013,62308,673,14845,119491,119939300.0,911300.0
10252,4MEDIA,2013,62308,673,14845,119491,119939300.0,911300.0
8132,OAT,2012,41583,738,13688,106601,140200.0,119939300.0
8476,VENTUREIN,2005,12126,520,1723,30845,9262800.0,6026400.0
9331,DTP,2015,68095,661,7154,130446,2932000.0,313200.0
1121,BACA,2008,24380,865,9160,48498,618163200.0,1168500.0
6247,FENGHUA,2012,41583,738,13688,106601,140200.0,119939300.0
8687,HARPER,2008,24380,865,9160,48498,618163200.0,1168500.0
3537,HELIO,2006,12720,624,1914,37316,6026400.0,4073400.0
4957,ORCOGROUP,2009,23851,1089,4068,69283,1168500.0,1159200.0
5396,HBPOLSKA,2006,12720,624,1914,37316,6026400.0,4073400.0
1683,AMPLI,2011,35340,817,11266,94012,857700.0,140200.0
825,ARTMAN,2011,35340,817,11266,94012,857700.0,140200.0
4211,PULAWY,2017,74142,659,9388,148860,9377600.0,25500.0
785,BZWBK,2010,32046,1038,5461,80418,1159200.0,857700.0
10594,PSG,2017,74142,659,9388,148860,9377600.0,25500.0
8286,QUERCUS,2010,32046,1038,5461,80418,1159200.0,857700.0
97,BAUMA,2011,35340,817,11266,94012,857700.0,140200.0
7888,PGSSOFT,2015,68095,661,7154,130446,2932000.0,313200.0
6345,INPRO,2006,12720,624,1914,37316,6026400.0,4073400.0
9947,MANOMETRY,2007,16086,610,2677,41013,4073400.0,618163200.0
4548,BIOTON,2016,74044,751,10353,143526,313200.0,9377600.0
2885,ASSECOSLO,2017,74142,659,9388,148860,9377600.0,25500.0
10690,IDMSAPL,2009,23851,1089,4068,69283,1168500.0,1159200.0
3759,NEPENTES,2007,16086,610,2677,41013,4073400.0,618163200.0
4468,BOMI,2014,68630,687,10513,119065,911300.0,2932000.0
3722,EUROTEL,2009,23851,1089,4068,69283,1168500.0,1159200.0
2777,NOWAGALA,2013,62308,673,14845,119491,119939300.0,911300.0
4251,MIDAS,2005,12126,520,1723,30845,9262800.0,6026400.0
8953,LSTCAPITA,2014,68630,687,10513,119065,911300.0,2932000.0
452,SANWIL,2015,68095,661,7154,130446,2932000.0,313200.0
2730,SPIN,2005,12126,520,1723,30845,9262800.0,6026400.0
7924,AILLERON,2012,41583,738,13688,106601,140200.0,119939300.0
6597,SKARBIEC,2011,35340,817,11266,94012,857700.0,140200.0
3819,MWTRADE,2015,68095,661,7154,130446,2932000.0,313200.0
2829,PLASTBOX,2013,62308,673,14845,119491,119939300.0,911300.0
7056,IFCAPITAL,2015,68095,661,7154,130446,2932000.0,313200.0
3649,MOJ,2014,68630,687,10513,119065,911300.0,2932000.0
5860,11BIT,2015,68095,661,7154,130446,2932000.0,313200.0
188,GRAJEWO,2011,35340,817,11266,94012,857700.0,140200.0
3170,LOTOS,2016,74044,751,10353,143526,313200.0,9377600.0
8436,GRODNO,2017,74142,659,9388,148860,9377600.0,25500.0
5851,11BIT,2006,12720,624,1914,37316,6026400.0,4073400.0
3385,DECORA,2010,32046,1038,5461,80418,1159200.0,857700.0
300,TVN,2006,12720,624,1914,37316,6026400.0,4073400.0
6294,CDRL,2007,16086,610,2677,41013,4073400.0,618163200.0
1455,FORTE,2017,74142,659,9388,148860,9377600.0,25500.0
9921,15HETMAN,2007,16086,610,2677,41013,4073400.0,618163200.0
7329,RUBICON,2015,68095,661,7154,130446,2932000.0,313200.0
256,APATOR,2014,68630,687,10513,119065,911300.0,2932000.0
10655,GREMISLTN,2013,62308,673,14845,119491,119939300.0,911300.0
9324,DTP,2008,24380,865,9160,48498,618163200.0,1168500.0
7487,FEERUM,2017,74142,659,9388,148860,9377600.0,25500.0
8229,PGO,2005,12126,520,1723,30845,9262800.0,6026400.0
10449,ANIMEX,2015,68095,661,7154,130446,2932000.0,313200.0
3643,MOJ,2008,24380,865,9160,48498,618163200.0,1168500.0
10604,AURUM,2014,68630,687,10513,119065,911300.0,2932000.0
133,TUP,2008,24380,865,9160,48498,618163200.0,1168500.0
4838,JAGO,2007,16086,610,2677,41013,4073400.0,618163200.0
6884,PBKM,2012,41583,738,13688,106601,140200.0,119939300.0
8106,STELMET,2012,41583,738,13688,106601,140200.0,119939300.0
2993,AMBRA,2008,24380,865,9160,48498,618163200.0,1168500.0
8150,ADIUVO,2017,74142,659,9388,148860,9377600.0,25500.0
6844,PCCROKITA,2011,35340,817,11266,94012,857700.0,140200.0
10578,POLYMETAL,2014,68630,687,10513,119065,911300.0,2932000.0
4191,CEDC,2010,32046,1038,5461,80418,1159200.0,857700.0
147,KOELNER,2009,23851,1089,4068,69283,1168500.0,1159200.0
4370,SOBIESKI,2007,16086,610,2677,41013,4073400.0,618163200.0
10394,FAMOT,2012,41583,738,13688,106601,140200.0,119939300.0
4513,BUDVARCEN,2007,16086,610,2677,41013,4073400.0,618163200.0
8654,KBDOM,2014,68630,687,10513,119065,911300.0,2932000.0
6127,EDINVEST,2009,23851,1089,4068,69283,1168500.0,1159200.0
7551,IBSM,2016,74044,751,10353,143526,313200.0,9377600.0
2393,WILBO,2006,12720,624,1914,37316,6026400.0,4073400.0
5407,HBPOLSKA,2017,74142,659,9388,148860,9377600.0,25500.0
9470,SZEPTEL,2011,35340,817,11266,94012,857700.0,140200.0
2554,SWARZEDZ,2011,35340,817,11266,94012,857700.0,140200.0
3849,WARFAMA,2006,12720,624,1914,37316,6026400.0,4073400.0
2866,IMMOEAST,2011,35340,817,11266,94012,857700.0,140200.0
1968,DGA,2010,32046,1038,5461,80418,1159200.0,857700.0
9276,MSXRESOUR,2012,41583,738,13688,106601,140200.0,119939300.0
6394,WADEX,2016,74044,751,10353,143526,313200.0,9377600.0
4669,PGNIG,2007,16086,610,2677,41013,4073400.0,618163200.0
5611,MOBRUK,2013,62308,673,14845,119491,119939300.0,911300.0
3743,WARIMPEX,2017,74142,659,9388,148860,9377600.0,25500.0
709,BANKBPH,2012,41583,738,13688,106601,140200.0,119939300.0
6427,NEUCA,2010,32046,1038,5461,80418,1159200.0,857700.0
6153,INTERAOLT,2009,23851,1089,4068,69283,1168500.0,1159200.0
135,TUP,2010,32046,1038,5461,80418,1159200.0,857700.0
8631,OPENFIN,2017,74142,659,9388,148860,9377600.0,25500.0
5185,MERCOR,2016,74044,751,10353,143526,313200.0,9377600.0
7192,JHMDEV,2008,24380,865,9160,48498,618163200.0,1168500.0
10437,EXBUD,2016,74044,751,10353,143526,313200.0,9377600.0
6545,AIRWAY,2011,35340,817,11266,94012,857700.0,140200.0
3241,PLAZACNTR,2009,23851,1089,4068,69283,1168500.0,1159200.0
4781,RADPOL,2015,68095,661,7154,130446,2932000.0,313200.0
1251,HANDLOWY,2008,24380,865,9160,48498,618163200.0,1168500.0
7428,FMG,2010,32046,1038,5461,80418,1159200.0,857700.0
2313,FASING,2017,74142,659,9388,148860,9377600.0,25500.0
4627,ZPUE,2017,74142,659,9388,148860,9377600.0,25500.0
2664,LZPS,2017,74142,659,9388,148860,9377600.0,25500.0
6123,EDINVEST,2005,12126,520,1723,30845,9262800.0,6026400.0
3514,ULMA,2009,23851,1089,4068,69283,1168500.0,1159200.0
3328,NEWWORLDR,2005,12126,520,1723,30845,9262800.0,6026400.0
8000,ELEMENTAL,2010,32046,1038,5461,80418,1159200.0,857700.0
6071,GPRE,2005,12126,520,1723,30845,9262800.0,6026400.0
7462,ESOTIQ,2005,12126,520,1723,30845,9262800.0,6026400.0
6890,ALUMETAL,2005,12126,520,1723,30845,9262800.0,6026400.0
5416,SYGNITY,2013,62308,673,14845,119491,119939300.0,911300.0
6070,ATENDE,2017,74142,659,9388,148860,9377600.0,25500.0
3220,HYPERION,2014,68630,687,10513,119065,911300.0,2932000.0
9626,ZTSERG,2011,35340,817,11266,94012,857700.0,140200.0
9963,GASTELZUR,2010,32046,1038,5461,80418,1159200.0,857700.0
2163,STALPROFI,2010,32046,1038,5461,80418,1159200.0,857700.0
10521,POLAR,2009,23851,1089,4068,69283,1168500.0,1159200.0
7720,INVISTA,2016,74044,751,10353,143526,313200.0,9377600.0
5307,SKYLINE,2008,24380,865,9160,48498,618163200.0,1168500.0
9608,TRASTYCHY,2006,12720,624,1914,37316,6026400.0,4073400.0
541,PKNORLEN,2013,62308,673,14845,119491,119939300.0,911300.0
3106,JWCONSTR,2017,74142,659,9388,148860,9377600.0,25500.0
31,SKOTAN,2010,32046,1038,5461,80418,1159200.0,857700.0
7265,NANOGROUP,2016,74044,751,10353,143526,313200.0,9377600.0
10038,BCZ,2007,16086,610,2677,41013,4073400.0,618163200.0
1785,PROVIMROL,2009,23851,1089,4068,69283,1168500.0,1159200.0
2399,WILBO,2012,41583,738,13688,106601,140200.0,119939300.0
3522,ULMA,2017,74142,659,9388,148860,9377600.0,25500.0
7747,IMPERA,2017,74142,659,9388,148860,9377600.0,25500.0
9829,OKOCIM,2006,12720,624,1914,37316,6026400.0,4073400.0
197,GETIN,2007,16086,610,2677,41013,4073400.0,618163200.0
8495,IZOBLOK,2011,35340,817,11266,94012,857700.0,140200.0
8484,VENTUREIN,2013,62308,673,14845,119491,119939300.0,911300.0
5427,BBIZENNFI,2011,35340,817,11266,94012,857700.0,140200.0
4411,OLYMPIC,2009,23851,1089,4068,69283,1168500.0,1159200.0
1226,JCAUTO,2009,23851,1089,4068,69283,1168500.0,1159200.0
6938,PGE,2014,68630,687,10513,119065,911300.0,2932000.0
6,ALCHEMIA,2011,35340,817,11266,94012,857700.0,140200.0
6845,PCCROKITA,2012,41583,738,13688,106601,140200.0,119939300.0
5775,PEKABEX,2008,24380,865,9160,48498,618163200.0,1168500.0
7869,PEMANAGER,2009,23851,1089,4068,69283,1168500.0,1159200.0
4428,ZETKAMA,2013,62308,673,14845,119491,119939300.0,911300.0
760,INGBSK,2011,35340,817,11266,94012,857700.0,140200.0
4809,SFINKS,2017,74142,659,9388,148860,9377600.0,25500.0
3552,TRITON,2008,24380,865,9160,48498,618163200.0,1168500.0
10651,GREMISLTN,2009,23851,1089,4068,69283,1168500.0,1159200.0
6670,WITTCHEN,2006,12720,624,1914,37316,6026400.0,4073400.0
1125,BACA,2012,41583,738,13688,106601,140200.0,119939300.0
7773,COALENERG,2017,74142,659,9388,148860,9377600.0,25500.0
7069,NOVATURAS,2015,68095,661,7154,130446,2932000.0,313200.0
4720,CYFRPLSAT,2006,12720,624,1914,37316,6026400.0,4073400.0
4117,PROTEKTOR,2014,68630,687,10513,119065,911300.0,2932000.0
3791,RESBUD,2013,62308,673,14845,119491,119939300.0,911300.0
8191,GLCOSMED,2006,12720,624,1914,37316,6026400.0,4073400.0
1869,EMAX,2015,68095,661,7154,130446,2932000.0,313200.0
8363,SARE,2009,23851,1089,4068,69283,1168500.0,1159200.0
2245,TRASINTUR,2014,68630,687,10513,119065,911300.0,2932000.0
7790,IFSA,2008,24380,865,9160,48498,618163200.0,1168500.0
3478,ERBUD,2012,41583,738,13688,106601,140200.0,119939300.0
2913,IZOLACJA,2006,12720,624,1914,37316,6026400.0,4073400.0
10470,EBI,2010,32046,1038,5461,80418,1159200.0,857700.0
8710,MILKILAND,2005,12126,520,1723,30845,9262800.0,6026400.0
4016,ATLASEST,2017,74142,659,9388,148860,9377600.0,25500.0
5829,4FUNMEDIA,2010,32046,1038,5461,80418,1159200.0,857700.0
335,JUTRZENKA,2015,68095,661,7154,130446,2932000.0,313200.0
7645,TOYA,2006,12720,624,1914,37316,6026400.0,4073400.0
10714,POLMOSBIA,2007,16086,610,2677,41013,4073400.0,618163200.0
518,02NFI,2016,74044,751,10353,143526,313200.0,9377600.0
8885,ADVGRUPA,2011,35340,817,11266,94012,857700.0,140200.0
1,ALCHEMIA,2006,12720,624,1914,37316,6026400.0,4073400.0
376,ECHO,2017,74142,659,9388,148860,9377600.0,25500.0
5886,COMPERIA,2015,68095,661,7154,130446,2932000.0,313200.0
5553,GORENJE,2007,16086,610,2677,41013,4073400.0,618163200.0
5743,WINVEST,2015,68095,661,7154,130446,2932000.0,313200.0
7438,TAURONPE,2007,16086,610,2677,41013,4073400.0,618163200.0
3322,MAKARONPL,2012,41583,738,13688,106601,140200.0,119939300.0
2503,RELPOL,2012,41583,738,13688,106601,140200.0,119939300.0
139,TUP,2014,68630,687,10513,119065,911300.0,2932000.0
10431,EXBUD,2010,32046,1038,5461,80418,1159200.0,857700.0
6516,LOKUM,2008,24380,865,9160,48498,618163200.0,1168500.0
8094,ARTIFEX,2013,62308,673,14845,119491,119939300.0,911300.0
1028,JELFA,2006,12720,624,1914,37316,6026400.0,4073400.0
8169,CZTOREBKA,2010,32046,1038,5461,80418,1159200.0,857700.0
3571,BARLINEK,2014,68630,687,10513,119065,911300.0,2932000.0
9898,BPHPBK,2010,32046,1038,5461,80418,1159200.0,857700.0
813,KREDYTB,2012,41583,738,13688,106601,140200.0,119939300.0
2410,OPTIMUS,2010,32046,1038,5461,80418,1159200.0,857700.0
6958,GPW,2008,24380,865,9160,48498,618163200.0,1168500.0
5050,KREDYTIN,2011,35340,817,11266,94012,857700.0,140200.0
8274,PEIXIN,2011,35340,817,11266,94012,857700.0,140200.0
1588,MOSTALEXP,2007,16086,610,2677,41013,4073400.0,618163200.0
7210,MABION,2013,62308,673,14845,119491,119939300.0,911300.0
5887,COMPERIA,2016,74044,751,10353,143526,313200.0,9377600.0
7049,IFCAPITAL,2008,24380,865,9160,48498,618163200.0,1168500.0
6905,APLISENS,2007,16086,610,2677,41013,4073400.0,618163200.0
2838,REDAN,2009,23851,1089,4068,69283,1168500.0,1159200.0
8601,GETBACK,2013,62308,673,14845,119491,119939300.0,911300.0
8378,PRIMETECH,2011,35340,817,11266,94012,857700.0,140200.0
5855,11BIT,2010,32046,1038,5461,80418,1159200.0,857700.0
489,BEST,2013,62308,673,14845,119491,119939300.0,911300.0
8491,IZOBLOK,2007,16086,610,2677,41013,4073400.0,618163200.0
2417,OPTIMUS,2017,74142,659,9388,148860,9377600.0,25500.0
6040,IMCOMPANY,2013,62308,673,14845,119491,119939300.0,911300.0
6440,ASSECOSEE,2010,32046,1038,5461,80418,1159200.0,857700.0
9375,TELEPOLSKA,2007,16086,610,2677,41013,4073400.0,618163200.0
3572,BARLINEK,2015,68095,661,7154,130446,2932000.0,313200.0
9871,HYDROGD,2009,23851,1089,4068,69283,1168500.0,1159200.0
6333,HUBSTYLE,2007,16086,610,2677,41013,4073400.0,618163200.0
7470,ESOTIQ,2013,62308,673,14845,119491,119939300.0,911300.0
2878,ASSECOSLO,2010,32046,1038,5461,80418,1159200.0,857700.0
186,GRAJEWO,2009,23851,1089,4068,69283,1168500.0,1159200.0
5289,PWRMEDIA,2016,74044,751,10353,143526,313200.0,9377600.0
6700,ESTAR,2010,32046,1038,5461,80418,1159200.0,857700.0
6396,GOBARTO,2005,12126,520,1723,30845,9262800.0,6026400.0
1283,AGORA,2014,68630,687,10513,119065,911300.0,2932000.0
8079,SYNEKTIK,2011,35340,817,11266,94012,857700.0,140200.0
10236,OCEAN,2010,32046,1038,5461,80418,1159200.0,857700.0
7369,DELKO,2016,74044,751,10353,143526,313200.0,9377600.0
6097,IIAAV,2005,12126,520,1723,30845,9262800.0,6026400.0
1240,HYDROTOR,2010,32046,1038,5461,80418,1159200.0,857700.0
276,SIMPLE,2008,24380,865,9160,48498,618163200.0,1168500.0
7492,BGZBNPP,2009,23851,1089,4068,69283,1168500.0,1159200.0
8713,MILKILAND,2008,24380,865,9160,48498,618163200.0,1168500.0
8324,LARQ,2009,23851,1089,4068,69283,1168500.0,1159200.0
6109,IIAAV,2017,74142,659,9388,148860,9377600.0,25500.0
8198,GLCOSMED,2013,62308,673,14845,119491,119939300.0,911300.0
3285,POZBUD,2014,68630,687,10513,119065,911300.0,2932000.0
3700,EUROMARK,2013,62308,673,14845,119491,119939300.0,911300.0
8823,ALTERCO,2014,68630,687,10513,119065,911300.0,2932000.0
7471,ESOTIQ,2014,68630,687,10513,119065,911300.0,2932000.0
7652,TOYA,2013,62308,673,14845,119491,119939300.0,911300.0
1585,STALPROD,2017,74142,659,9388,148860,9377600.0,25500.0
7165,ARCHICOM,2007,16086,610,2677,41013,4073400.0,618163200.0
8669,QUMAK,2016,74044,751,10353,143526,313200.0,9377600.0
8769,IDEABANK,2012,41583,738,13688,106601,140200.0,119939300.0
9620,ZTSERG,2005,12126,520,1723,30845,9262800.0,6026400.0
2869,IMMOEAST,2014,68630,687,10513,119065,911300.0,2932000.0
1830,ATMGRUPA,2015,68095,661,7154,130446,2932000.0,313200.0
7373,ZUE,2007,16086,610,2677,41013,4073400.0,618163200.0
1570,PGF,2015,68095,661,7154,130446,2932000.0,313200.0
3097,JWCONSTR,2008,24380,865,9160,48498,618163200.0,1168500.0
5392,TRAVELPL,2015,68095,661,7154,130446,2932000.0,313200.0
8568,MBWS,2006,12720,624,1914,37316,6026400.0,4073400.0
1507,NORDEABP,2017,74142,659,9388,148860,9377600.0,25500.0
7113,PATENTUS,2007,16086,610,2677,41013,4073400.0,618163200.0
1718,IMPEL,2007,16086,610,2677,41013,4073400.0,618163200.0
567,RMFFM,2013,62308,673,14845,119491,119939300.0,911300.0
4003,EUROCASH,2017,74142,659,9388,148860,9377600.0,25500.0
2388,EUROFAKTR,2014,68630,687,10513,119065,911300.0,2932000.0
55,BUDOPOL,2008,24380,865,9160,48498,618163200.0,1168500.0
5470,CITYINTER,2015,68095,661,7154,130446,2932000.0,313200.0
7996,ELEMENTAL,2006,12720,624,1914,37316,6026400.0,4073400.0
8148,ADIUVO,2015,68095,661,7154,130446,2932000.0,313200.0
5226,GINOROSSI,2005,12126,520,1723,30845,9262800.0,6026400.0
4,ALCHEMIA,2009,23851,1089,4068,69283,1168500.0,1159200.0
5871,DINOPL,2013,62308,673,14845,119491,119939300.0,911300.0
2799,LENTEX,2009,23851,1089,4068,69283,1168500.0,1159200.0
2328,ELDORADO,2006,12720,624,1914,37316,6026400.0,4073400.0
6627,SOPHARMA,2015,68095,661,7154,130446,2932000.0,313200.0
6652,BIK,2014,68630,687,10513,119065,911300.0,2932000.0
10059,GPRD,2015,68095,661,7154,130446,2932000.0,313200.0
6034,IMCOMPANY,2007,16086,610,2677,41013,4073400.0,618163200.0
2008,WSIP,2011,35340,817,11266,94012,857700.0,140200.0
8594,GETBACK,2006,12720,624,1914,37316,6026400.0,4073400.0
4663,QUANTUM,2014,68630,687,10513,119065,911300.0,2932000.0
9881,DROSED,2006,12720,624,1914,37316,6026400.0,4073400.0
5268,KOLASTYNA,2008,24380,865,9160,48498,618163200.0,1168500.0
8429,GRODNO,2010,32046,1038,5461,80418,1159200.0,857700.0
5049,KREDYTIN,2010,32046,1038,5461,80418,1159200.0,857700.0
2585,POLLENAE,2016,74044,751,10353,143526,313200.0,9377600.0
10401,BELCHATOW,2006,12720,624,1914,37316,6026400.0,4073400.0
9733,UNIWHEELS,2014,68630,687,10513,119065,911300.0,2932000.0
1397,BORYSZEW,2011,35340,817,11266,94012,857700.0,140200.0
